polarity;tweet
1;fabricioreis se a holanda é a laranja mecânica, felipe melo é o espremedor de laranja
1;flacosta se a holanda é laranja mecânica, o felipe melo é espremedor de suco #euridemais
0;amandacaldeira ramiiiires suspenso elano machucado mas o felipe melo volta que bosta brasil
1;roberto_rangel felipe melo voltou preparemse pra ver mto suco de laranja no campo #bra
1;ospitaqueiros o tal do felipe melo voltou elano fora #kakabadboy e assim começa #ned e #bra
1;"jessalvarenga se holanda é a laranja mecânica, felipe melo é o espremedor de suco &lt;&lt; raaxei haushuashusahusuhsauhshuashusauha"
1;jonatabatista rt @fabricioreis: se a holanda é a laranja mecânica, felipe melo é o espremedor de laranja
1;carvalho_filipe holanda é a laranja mecânica então o felipe melo é o espremedor para suco
1;zeibian calma felipe melo e joga o futebol bom que vc tem #worldcup #bra #ned
0;arffilho felipe melo um troglodita mesmo #bra 0 x 0 #ned
0;tvmb felipe melo me lembra o dunga do 90 tomara que o fim seja diferente não quero vêlo como capitão em 2014 nem técnico em 2030 #copa
0;amafra felipe melo vai sair mais cedo #bra #worldcup
0;rafinhaserafim felipe melo foda veio ¬¬ / tira ele dunga d:
0;heliopaz 5 felipe melo fora da semi se #bra passar acho que c/apenas 3 min e tanto desequilíbrio #bra vai perder
0;tvmb felipe melo me lembra o dunga do 90 tomara que o fim seja diferente não quero vêlo como capitão em 2014 nem técnico em 2030 #copa
1;joanafpires felipe melo fazendo a diplomacia em campo #bra
0;agatabresil eu avisei que o felipe melo ia começar a dar piti mas o dunga não quis me ouvir né
0;brasilianshawty rt @biofaalém de torcer pela vitória do brasil temos que torcer tbm pra que o felipe melo não faça merda em campo
0;fogodoinferno depois esse felipe melo bagaçado sai bloqueando gente no twitter isso jogador de futebol ou lutador de kung fu #sedanar #dreyer #bra
0;eniaquino felipe melo cuidado para não prejudicar o brasil filho
0;michelpabst dunga tu burro po felipe melo de volta cara caramba nao aprendeu
0;mariinasouza felipe melo quer sangue #bra #bra #bra #bra #bra #bra #bra #bra #bra #bra #bra #bra #bra #bra #bra #bra #bra #bra #bra #bra #bra #bra #bra
0;aninhaachemin felipe melo já começou a fazer faltaa alguém quer chutar aí com quantos minutos ele leva o primeiro cartão #bra #copa
0;_fpatricia no meu ps2 apertando qlqr botão felipe melo dá um golpe no winning eleven fifa 10 e no mortal kombat #putafaltadesacanagem
0;ruiapmoraes felipe melo eh um fanfarrao #bra
0;aagrijo felipe melo estava cantando o hino ou rezando #bra
0;aninhaachemin felipe melo já começou a fazer faltaa alguém quer chutar aí com quantos minutos ele leva o primeiro cartão #bra #copa
0;rodrigowenzel felipe melo faz inveja a costa do marfim dunga podia ter levado o sandro goiano que tem mais categoria #bra #worldcup
1;laupietro em menos de 5 minutos felipe melo já fez falta só pra mostrar pra holanda como que vai ser #felipemelo
0;moreira_p non sei pq essa insistência do dunga no felipe melo ¬¬
0;"mateus05 eu aposto no cartao do felipe melo rt@penelope_nova o q sai primeiro o gol do brasil ou o cartão do felipe melo;od;"
1;aagrijo felipe melo estava cantando o hino ou rezando #bra
0;danicbrandao tática da #nedsó cair quando o felipe melo chegar pouparemos nossas canelas
0;phsantos23 #bra chegando junto isso aí felipe melo ñ tah negando a fama mesmo será q ele dura até o fim dos primeiros 10 min
0;rafaellavale vamos brasil jogo limpo felipe melo out
0;fogodoinferno depois esse felipe melo bagaçado sai bloqueando gente no twitter isso jogador de futebol ou lutador de kung fu #sedanar #dreyer #bra
1;rezpekt_ se a holanda é a laranja mecânica, o felipe melo é o espremedor de suco (via @kibeloco)
0;brausen felipe melo muito ruim vale a pena repetir #bra
1;mahvieira xinga o felipe melo agora uahuahuahua goooooooooooooooooooooooooool #bra#bra#bra#bra#bra#bra#bra#bra#bra#bra#bra#bra
1;lukemabrullaz felipe melo com a assistência calou a boca de todo mundo #bra #worldcup
1;felipemassoni que passe do felipe melo chuuuuuupa holanda
0;nathanlemos hahahahahahaha felipe melo armadooor chupa cornetero #bra
1;"di_cordata chupa todo mundo que falou mal do felipe melo bolão a dele;d 1 x 0 #bra;"
1;thapb caralhooo felipe melo serve pra alguma coisa que bola #bra
0;wesleylpinheiro gol do #bra não estou acreditando que o felipe melo que tem fama de reatranqueiro fez um passe desses
1;patriciavirtual rt @flacosta: se a holanda é laranja mecânica, o felipe melo é espremedor de suco #euridemais
0;madeirac2 pqp até o felipe melo aprendeu a jogar bola hj dunga andou ensinando ele a lançar ne
1;luscafusca queimei a língua eu que achava o felipe melo o câncer da seleção brasileira cês viram o passe dele pro robinho fazer esse gol maravilha
1;julianammendes felipe melo deu um bom passe pro robinho ew #bra
1;ericlucianobr felipe melo deixou na cara rsrsrs #bra x #ned
0;evandroavelar um dia o felipe melo ruim não serve pra seleção depois de um passe ja tem gente dizendo que ele importantíssimo pro brasil piada
1;thiagodias92 felipe melo no momento jogando mto que bola pro robinhoo #bra
1;gmeendes goooollll do brasil felipe melo enfia linda bola para robinho
1;karolnes #bra / bola fechada s felipe melo gatão
1;jonathanzsilva belo lançamento do felipe melo para o robinho #bra 1 x 0 #net
1;sansquer queimei a língua que passe do felipe melo #bra
1;rechedaniel será que agora a onda de perseguição da imprensa ao felipe melo acaba #worldcup
0;julieteoliveira felipe melo e robinho valeu goooooooolllllllllll #bra
1;passesdeletra que assistência do felipe melo para o gol do robinho aí felipe melo sabe jogar joga em vez de bater #ned 0 x 1 #bra
1;thiagohcss ihh felipe melo fez alguma coisa boa goolllllllll #bra
1;lucaslfk q bola do felipe melo hein boa boa robinho d #bra 1 x 0 #ned #worldcup
1;izaiasdias q passe o felipe melo pro robinho hein kd o povo q fala mal dele vai #brasil
1;jonathanzsilva belo lançamento do felipe melo para o robinho #bra 1 x 0 #ned
1;brenopires #bra 1 x 0 #ned robinho grande passe de felipe melo e percepção acertada do atacante que bateu rápido como a bola veio
1;ivangalassi quem diria lançamento perfeito do felipe melo hahahahha vamoo #bra
1;twitteday até que enfim o felipe melo fez alguma coisa que preste vai #bra \o/
1;comentarista_10 #bra x #ned que lindo passe do felipe melo saída de bola se fizer tiver essa saída de bola brasil fácil
1;ocudacobra passe do filipe melo foi ocudacobra tá isento de críticas pro resto do jogo #bra #ned #worldcup
0;pablaao felipe melo que tapa foi aquele pooo #ned fdp
1;anathyzze rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;miu_ju se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;thiagorsr rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;camilaxuh rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;iambinhu rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;layninha rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;fabiofischer rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;karoulinematos rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
0;gsfelipe que bobeira do meio/zaga da holanda ali no gol hein incrível felipe melo veio tranquilo e robinho correu sozinho
1;bia025 rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;vinnibiazzus rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;nortonnader rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
1;isadoralago rt @tiodino: se a holanda é a laranja mecanica, felipe melo é o espremedor de fruta
