id;word;polarity
1;abafado;-1
2;abafante;-1
3;abaixado;-1
4;abalado;-1
5;abalizado;1
6;abalroado;-1
7;abalroar;1
8;abanar;1
9;abandalhado;-1
10;abandalhamento;-1
11;abandonado;-1
12;abandonar;-1
13;abarcante;0
14;abarrotado;-1
15;abastado;1
16;abastecido;0
17;abater;1
18;abatido;-1
19;abelhudo;-1
20;abençoado;1
21;aberração;-1
22;aberrante;-1
23;aberrativo;-1
24;aberto;1
25;abespinhado;-1
26;abestalhado;-1
27;abilolado;-1
28;abjeção;-1
29;abjecção;-1
30;abjecto;-1
31;abjeto;-1
32;abnegado;1
33;abobado;-1
34;abobalhado;-1
35;abolicionista;0
36;abolido;-1
37;abominador;-1
38;abominando;-1
39;abominar;0
40;abominável;-1
41;abonado;1
42;abonatório;1
43;abonecado;0
44;aborrecer;1
45;aborrecer-se;-1
46;aborrecido;-1
47;abortado;-1
48;abraçado;1
49;abrasileirado;0
50;abrigado;0
51;abrilhantado;1
52;abrupto;-1
53;abrutalhado;-1
54;absentista;-1
55;absolutista;0
56;absoluto;0
57;absolvido;0
58;absorvente;1
59;abstémico;1
60;abstémio;1
61;abstencionista;0
62;abstinente;0
63;abstracto;-1
64;abstraído;-1
65;abstrato;-1
66;abstrusidade;-1
67;abstruso;-1
68;absurdo;-1
69;abulia;-1
70;abúlico;-1
71;aburguesado;0
72;abusado;-1
73;abusador;-1
74;abusar;-1
75;abusivo;-1
76;acabado;-1
77;acabadote;-1
78;acabrunhado;-1
79;acaciano;-1
80;acadêmico;0
81;acalorado;0
82;açambarcador;-1
83;acanhado;-1
84;acanhamento;-1
85;acanhar-se;-1
86;acatado;1
87;acatador;0
88;acautelado;0
89;acéfalo;-1
90;aceitável;1
91;aceite;0
92;aceito;0
93;acelerado;0
94;acentuado;0
95;acerado;-1
96;acerbidade;-1
97;acerbo;-1
98;acérrimo;-1
99;acertado;1
100;aceso;0
101;acessível;1
102;achacado;-1
103;achado;0
104;achatado;-1
105;achegado;1
106;achincalhar;-1
107;achinesado;0
108;acidentado;-1
109;aciganado;-1
110;acintoso;-1
111;acirrado;-1
112;aclamado;0
113;aclamar;0
114;acobardado;-1
115;acobardar-se;-1
116;acobertado;-1
117;acobreado;0
118;acocado;-1
119;açoitado;-1
120;acolhedor;1
121;acolhido;0
122;acomodadiço;-1
123;acomodar-se;-1
124;acomodatício;0
125;acompanhado;0
126;acompanhador;0
127;acompanhante;0
128;aconchegado;1
129;acordado;0
130;acordar;
131;acordar;
132;acorrentado;-1
133;acorrentar;1
134;acorrentar-se;-1
135;acossado;-1
136;acossar;1
137;acostumado;0
138;acotovelar;0
139;açougueiro;-1
140;acre;-1
141;acreditado;1
142;acreditar;0
143;acriançado;-1
144;acrisolado;0
145;acrítico;-1
146;activo;1
147;actualista;0
148;acudir;1
149;aculturado;-1
150;acurado;1
151;acusado;-1
152;acusar;0
153;acutilante;-1
154;adâmico;-1
155;adaptado;0
156;adepto;1
157;adequado;1
158;adestrado;1
159;adicional;0
160;adiposo;-1
161;adjacente;0
162;administrado;0
163;admirar;0
164;admirável;1
165;admitido;0
166;admoestador;-1
167;adoentado;-1
168;adorado;1
169;adorando;1
170;adorar;0
171;adorável;1
172;adormecido;-1
173;adulador;-1
174;adulterador;-1
175;adulterino;-1
176;adultério;-1
177;adúltero;-1
178;adulto;0
179;adventista;0
180;adverso;-1
181;aéreo;-1
182;afabilidade;1
183;afamado;1
184;afanado;-1
185;afasia;-1
186;afásico;-1
187;afastar;0
188;afável;1
189;afectado;-1
190;afectar;0
191;afectividade;1
192;afectivo;1
193;afecto;1
194;afectuoso;1
195;afeiçoado;1
196;afeito;0
197;afeminado;-1
198;aferido;0
199;aferrado;0
200;afetado;-1
201;afetividade;1
202;afetivo;1
203;afeto;1
204;afetuoso;1
205;afiado;-1
206;afidalgado;0
207;afilado;0
208;afilhado;0
209;afinado;1
210;afincado;0
211;afirmativo;1
212;aflição;-1
213;afligido;-1
214;afligir;0
215;afligir-se;-1
216;aflitivo;-1
217;aflito;-1
218;afobado;-1
219;afogado;-1
220;afogar-se;-1
221;afogar-se;
222;afogueado;0
223;afoiteza;1
224;afoito;1
225;afortunado;1
226;afrancesado;0
227;afrontado;-1
228;afrontar;1
229;afrontoso;-1
230;afugentar;1
231;afundado;-1
232;afundanço;-1
233;afundar;1
234;afundar-se;-1
235;agachado;-1
236;agarotado;-1
237;agarrado;-1
238;agarrar;
239;agarrar;
240;agasalhado;0
241;agastadiço;-1
242;agastado;-1
243;agastar-se;-1
244;ágil;1
245;agilidade;1
246;agiota;-1
247;aglomerado;0
248;agnóstico;0
249;agoirento;-1
250;agonia;-1
251;agoniado;-1
252;agoniante;-1
253;agoniar;-1
254;agonizante;-1
255;agoureiro;-1
256;agourento;-1
257;agradado;1
258;agradar;1
259;agradável;1
260;agradecer;0
261;agrado;1
262;agravado;-1
263;agravar;-1
264;agre;-1
265;agredir;-1
266;agregado;0
267;agressividade;-1
268;agressivo;-1
269;agressor;-1
270;agreste;-1
271;agrilhoado;-1
272;agrosseirado;-1
273;aguado;-1
274;aguardado;0
275;aguçado;-1
276;agudo;0
277;aguentar-se;1
278;aguerrido;0
279;airoso;1
280;ajanotado;0
281;ajudado;1
282;ajuizado;1
283;alapado;-1
284;alarmante;-1
285;alarmismo;-1
286;alarmista;-1
287;alarve;-1
288;alarvice;-1
289;albigense;0
290;albino;-1
291;alcandorado;0
292;alcoólatra;-1
293;alcoólico;-1
294;alcoolismo;-1
295;alcoolizado;-1
296;alcunhado;0
297;aldrabão;-1
298;alegado;-1
299;alegrar-se;1
300;alegre;1
301;alegrete;0
302;alegria;1
303;alegrote;0
304;aleijado;-1
305;aleivoso;-1
306;alentado;1
307;alentador;1
308;alento;1
309;alérgico;0
310;alfabetizado;0
311;algemado;-1
312;alheado;-1
313;alhear-se;-1
314;alheio;-1
315;aliado;0
316;alicerçado;1
317;aliciado;-1
318;aliciar;-1
319;alienado;-1
320;alienígena;-1
321;aligeirado;0
322;alimentado;0
323;alinhado;1
324;aliviado;0
325;almo;1
326;almóada;0
327;almorávida;0
328;aloirado;0
329;alourado;0
330;alquebrado;-1
331;altamente;1
332;altaneiro;-1
333;alteroso;0
334;altivo;-1
335;alto;0
336;altruísmo;1
337;altruísta;1
338;altruístico;1
339;aluado;-1
340;alucinação;-1
341;alucinado;-1
342;alucinar;-1
343;alumbrado;-1
344;alumiado;1
345;alvejado;0
346;alvissareiro;0
347;alvoraçado;-1
348;amabilidade;1
349;amachucado;-1
350;amachucar;1
351;amado;1
352;amador;0
353;amadorismo;-1
354;amadurecer;1
355;amadurecido;1
356;amaldiçoado;-1
357;amalucado;-1
358;amamentado;0
359;amaneirado;-1
360;amar;0
361;amarelado;-1
362;amarelo;-1
363;amargado;-1
364;amargo;-1
365;amargura;-1
366;amargurado;-1
367;amaricado;-1
368;amarrado;-1
369;amassado;-1
370;amável;1
371;ambicioso;0
372;ambidestro;0
373;ambidextro;0
374;ambiguidade;-1
375;ambíguo;-1
376;ambiopia;-1
377;ambliopia;-1
378;ambrosiano;0
379;ameaça;-1
380;ameaçador;-1
381;ameaçante;-1
382;amedrontado;-1
383;amedrontador;-1
384;amedrontar;1
385;ameno;1
386;americanista;0
387;americanófilo;0
388;americanófobo;-1
389;amestrado;1
390;amigalhaço;1
391;amigalhão;1
392;amigável;1
393;amigo;1
394;amistoso;1
395;amnésia;-1
396;amnésico;-1
397;amolecer;-1
398;amoral;-1
399;amoralidade;-1
400;amoralista;-1
401;amorável;1
402;amorfia;-1
403;amorfo;-1
404;amorosidade;1
405;amoroso;1
406;amortecido;-1
407;amotinado;-1
408;amputado;-1
409;amuado;-1
410;amuamento;-1
411;amuar;-1
412;amuo;-1
413;anacrónico;-1
414;anacrônico;-1
415;anafado;-1
416;analfabeto;-1
417;analisador;0
418;analista;0
419;anão;-1
420;anárquico;-1
421;anarquista;-1
422;ancião;0
423;andante;-1
424;andar;
425;andar;
426;andar;
427;andar;
428;andar;
429;andar;
430;andar;
431;andar;
432;andar;
433;andar;
434;andar;
435;andar;
436;andar;
437;andar;
438;andar;
439;andar;
440;andar;
441;andar;
442;andar;
443;andar;
444;andar;
445;andar;
446;andar;
447;andar;
448;andar;
449;andar;
450;andarilho;0
451;andrajoso;-1
452;anedótico;-1
453;anémico;-1
454;anêmico;-1
455;anestesiado;-1
456;anestesiar;1
457;anexado;0
458;anexionista;0
459;angelical;1
460;angélico;1
461;angelita;0
462;anglicano;0
463;anglófilo;0
464;anglófobo;-1
465;angustiado;-1
466;angustiante;-1
467;angustiar;0
468;animação;1
469;animado;1
470;animador;1
471;animal;-1
472;animar;1
473;animista;0
474;animosidade;-1
475;animoso;1
476;aniquilado;-1
477;aniquilar;1
478;anjinho;-1
479;anómalo;-1
480;anoréctico;-1
481;anorético;-1
482;anorexia;-1
483;anormal;-1
484;anormalidade;-1
485;anotia;-1
486;ansioso;-1
487;antepassado;0
488;antidemocrata;-1
489;antidesportista;-1
490;antidesportivismo;-1
491;antidogmático;1
492;antifascista;1
493;antifederalista;0
494;antigo;0
495;antiliberal;-1
496;antiliberalista;-1
497;antimilitarista;0
498;antinatural;-1
499;antinazista;1
500;antinómico;-1
501;antipapista;0
502;antipartidário;0
503;antipatia;-1
504;antipático;-1
505;antipatriota;-1
506;antipatriotismo;-1
507;antipolítico;-1
508;antiquado;-1
509;anti-republicano;-1
510;antisocial;-1
511;antoniano;0
512;antonino;0
513;antropófago;-1
514;anular;1
515;apadrinhado;0
516;apagado;-1
517;apagar;1
518;apagar-se;-1
519;apaixonado;0
520;apaixonante;1
521;apaixonar;1
522;apaixonar-se;0
523;apalavrado;0
524;apalermado;-1
525;apalhaçado;-1
526;apancado;-1
527;apanhado;-1
528;apaparicar;-1
529;aparolado;-1
530;apartado;-1
531;aparvalhado;-1
532;apatetado;-1
533;apatia;-1
534;apático;-1
535;apatriota;-1
536;apavorado;-1
537;apavorante;-1
538;apavorar;1
539;apavorar-se;-1
540;apaziguador;1
541;apaziguar;1
542;apeado;-1
543;apedantado;-1
544;apedrejado;-1
545;apedrejar;-1
546;apelativo;1
547;apele;0
548;apelidado;0
549;aperaltado;-1
550;aperreado;-1
551;apessoado;1
552;apetitoso;0
553;aplaudir;0
554;aplicado;1
555;aplicar;
556;apócrifo;-1
557;apoiar;0
558;apolíneo;1
559;apologético;0
560;apopléctico;-1
561;apoplético;-1
562;apoquentado;-1
563;apoquentador;-1
564;aposentado;0
565;apostado;1
566;apóstata;-1
567;aprazível;1
568;apreciado;1
569;apreciador;1
570;apreciar;0
571;apreciável;1
572;apreendido;-1
573;apreensivo;-1
574;apresentável;1
575;apressado;0
576;aprimorado;1
577;apriorista;-1
578;aprisionado;-1
579;aprontado;0
580;aprontar;-1
581;apropriado;1
582;apropriar-se;-1
583;aprovado;1
584;aproveitador;-1
585;aproveitar-se;-1
586;aprumado;1
587;aprumo;1
588;apto;1
589;apunhalado;-1
590;apunhalar;-1
591;apupar;0
592;apurado;1
593;aquietador;-1
594;árabe;0
595;arbitrário;-1
596;arcaico;-1
597;ardente;1
598;ardil;-1
599;ardiloso;-1
600;ardoroso;0
601;árduo;-1
602;arfante;-1
603;arguto;0
604;ariano;0
605;árido;-1
606;arisco;-1
607;aristocrata;0
608;aristotélico;0
609;armado;0
610;armar-se;-1
611;armar-se;
612;armar-se;
613;arnaz;1
614;arquejante;-1
615;arrancado;0
616;arranhado;-1
617;arranjar;
618;arranjar;
619;arranjar;
620;arrasado;-1
621;arrasador;0
622;arrasante;0
623;arrasar;1
624;arrastadeiro;-1
625;arrastado;-1
626;arrebatado;0
627;arrebatador;0
628;arrebatar;1
629;arrebentado;-1
630;arrebitado;-1
631;arredado;-1
632;arredio;-1
633;arreliado;-1
634;arreliador;-1
635;arreliar;1
636;arremessado;0
637;arrenegado;-1
638;arrepender-se;-1
639;arrepiante;-1
640;arrepio;-1
641;arretado;1
642;arrevesado;-1
643;arrivista;-1
644;arrogância;-1
645;arrogante;-1
646;arrojado;1
647;arrolado;-1
648;arrozeiro;0
649;arruaceiro;-1
650;arrufado;-1
651;arrufo;-1
652;arruinado;-1
653;arruinamento;-1
654;arruinar;-1
655;arruinar-se;-1
656;arruivado;0
657;arrumar;1
658;arrumar;
659;arteirice;-1
660;arteiro;-1
661;arteriosclerose;-1
662;arteriosclerótico;-1
663;artificial;-1
664;artificialidade;-1
665;artifício;-1
666;artificiosidade;-1
667;artificioso;-1
668;artimanha;-1
669;artista;0
670;artístico;1
671;artritismo;-1
672;ascético;0
673;aselha;-1
674;aselhice;-1
675;asfixiante;-1
676;asfixiar;1
677;asilado;-1
678;asneira;-1
679;asneirento;-1
680;asno;-1
681;aspereza;-1
682;áspero;-1
683;aspirante;0
684;asquerosidade;-1
685;asqueroso;-1
686;assalariado;-1
687;assaloiado;-1
688;assaltante;-1
689;assaltar;-1
690;assanhadiço;-1
691;assanhado;-1
692;assarapantado;-1
693;assassinar;-1
694;assassino;-1
695;assaz;0
696;asseado;1
697;assediado;-1
698;assediador;-1
699;assediar;-1
700;assédio;-1
701;asseio;1
702;assertivo;1
703;assexuado;0
704;assexual;0
705;assiduidade;1
706;assíduo;1
707;assimétrico;-1
708;assimilado;0
709;assinado;0
710;assinalado;1
711;assinalável;1
712;assisado;1
713;assoberbado;-1
714;assolado;-1
715;assolador;-1
716;assomadiço;-1
717;assombrado;-1
718;assombrar;1
719;assustadiço;-1
720;assustado;-1
721;assustador;-1
722;assustar;0
723;assustar-se;-1
724;astenia;-1
725;asténico;-1
726;astúcia;-1
727;astucioso;-1
728;astuto;-1
729;atabalhoação;-1
730;atabalhoado;-1
731;atabalhoamento;-1
732;atacante;-1
733;atacar;1
734;atado;-1
735;atafulhado;-1
736;atamancado;-1
737;atarantação;-1
738;atarantado;-1
739;atarantar;1
740;atarantar-se;-1
741;atarefado;0
742;atarracado;-1
743;atascado;0
744;ateado;-1
745;atemorizado;-1
746;atemorizar;1
747;atencioso;1
748;atento;1
749;aterrado;-1
750;aterrador;-1
751;aterrorizado;-1
752;aterrorizador;-1
753;aterrorizar;1
754;atiçado;0
755;atilado;1
756;atinado;1
757;atiradiço;0
758;atirar;
759;atirar;
760;atirar;
761;atirar;
762;ativado;0
763;ativo;1
764;atleta;1
765;atlético;1
766;atoleimado;-1
767;atónito;-1
768;atônito;-1
769;atordoado;-1
770;atordoador;-1
771;atordoar;1
772;atormentado;-1
773;atormentador;-1
774;atormentar;1
775;atracado;-1
776;atractivo;1
777;atraente;1
778;atraiçoado;-1
779;atrair;1
780;atrapalhado;-1
781;atrapalhar;1
782;atrapalhar-se;-1
783;atrasado;-1
784;atraso;-1
785;atrativo;1
786;atravessadiço;-1
787;atravessado;-1
788;atrevido;0
789;atrevidote;0
790;atribulado;-1
791;atroador;-1
792;atrocidade;-1
793;atrofia;-1
794;atrofiado;-1
795;atrofiante;-1
796;atrofiar;-1
797;atrofiar-se;-1
798;atropelado;-1
799;atropelar;-1
800;atroz;-1
801;atulhado;-1
802;aturar;0
803;aturdido;-1
804;aturdir;1
805;audacioso;0
806;audaz;0
807;áureo;1
808;auspicioso;1
809;austero;-1
810;autenticidade;1
811;autêntico;1
812;autismo;-1
813;autista;-1
814;autoconfiança;1
815;autoconfiante;1
816;autocrata;0
817;autodestruição;-1
818;autodestrutivo;-1
819;autodidacta;1
820;autodidata;1
821;autonomia;1
822;autonomista;1
823;autónomo;1
824;autoritário;-1
825;autoritarismo;-1
826;autorizado;1
827;autosuficiência;1
828;autosuficiente;1
829;auxiliado;0
830;avançado;1
831;avantajado;0
832;avarento;-1
833;avareza;-1
834;avariado;-1
835;avariar;-1
836;avaro;-1
837;avassalador;-1
838;avassalamento;-1
839;avassalante;-1
840;avassalar;1
841;avençado;0
842;aventurado;0
843;aventureiro;0
844;aventuroso;0
845;averiguador;0
846;avermelhado;0
847;averroísta;0
848;averso;-1
849;avesso;-1
850;ávido;-1
851;aviltado;-1
852;aviltador;-1
853;aviltante;-1
854;avinagrado;-1
855;avinhado;-1
856;avisado;1
857;à-vontade;1
858;avulso;-1
859;azafamado;-1
860;azambrado;-1
861;azar;-1
862;azarado;-1
863;azarento;-1
864;azedar;-1
865;azedo;-1
866;azedume;-1
867;azeiteiro;-1
868;azelha;-1
869;azelhice;-1
870;azoinante;-1
871;azougado;-1
872;babaca;-1
873;babão;-1
874;babilónico;-1
875;baboseira;-1
876;babosice;-1
877;baboso;-1
878;bacano;1
879;bacoco;-1
880;baconiano;0
881;bacoquice;-1
882;badalhoco;-1
883;badalhoquice;-1
884;bagaceiro;-1
885;bagunceiro;-1
886;bairrista;0
887;baixeza;-1
888;baixote;-1
889;bajulador;-1
890;bajular;-1
891;balbuciante;-1
892;balofice;-1
893;balofo;-1
894;bambo;-1
895;banal;-1
896;banalidade;-1
897;banalizar;-1
898;banana;-1
899;bancarrota;-1
900;bandido;-1
901;banditismo;-1
902;banhado;0
903;banido;-1
904;banir;1
905;banzado;-1
906;barafustar;0
907;baralhado;-1
908;baralhar;0
909;baralhar-se;-1
910;barateiro;0
911;barato;-1
912;barbado;0
913;barbaridade;-1
914;bárbaro;-1
915;barbeado;0
916;barbilongo;0
917;barbudo;0
918;barrado;-1
919;barraqueiro;-1
920;barrigana;-1
921;barrigudo;-1
922;barroco;-1
923;barulhento;-1
924;baselga;-1
925;básico;-1
926;bastardo;-1
927;basto;0
928;batalhador;1
929;batalhante;1
930;batalhar;1
931;batateiro;0
932;batatudo;-1
933;bater;1
934;bater;
935;batido;-1
936;batota;-1
937;batoteiro;-1
938;batotice;-1
939;bazófia;-1
940;bazófio;-1
941;beatice;-1
942;beato;-1
943;bêbado;-1
944;bebedeira;-1
945;bêbedo;-1
946;bebedor;-1
947;beberrão;-1
948;bebido;-1
949;bebum;-1
950;beiçudo;-1
951;beijoqueiro;0
952;beleza;1
953;belfo;-1
954;belicismo;-1
955;belicista;-1
956;bélico;-1
957;belicoso;-1
958;belo;1
959;bem-amado;1
960;bem-apessoado;1
961;bem-aventurado;1
962;bem-colocado;1
963;bem-comportado;1
964;bem-criado;1
965;bem-educado;1
966;bem-encarado;1
967;bem-falante;1
968;bem-formado;1
969;bem-humorado;1
970;bem-intencionado;1
971;bem-mandado;0
972;bem-pago;0
973;bem-parecido;1
974;bem-pensante;1
975;bem-posto;1
976;bem-sucedido;1
977;bem-vindo;1
978;bendito;1
979;beneditino;0
980;beneficiado;0
981;benéfico;1
982;benemerência;1
983;benemérito;1
984;benevolência;1
985;benevolente;1
986;benévolo;1
987;benêvolo;1
988;benfazejo;1
989;benfeitor;1
990;benfeitoria;1
991;benfiquista;0
992;benignidade;1
993;benigno;1
994;benquisto;1
995;bera;-1
996;besta;-1
997;bestial;0
998;bestialidade;1
999;bestificado;-1
1000;bexiguento;-1
1001;bibliomania;-1
1002;bibliómano;0
1003;bígamo;0
1004;bilingue;0
1005;bilioso;-1
1006;biltre;-1
1007;bimbo;-1
1008;biqueiro;-1
1009;bira;-1
1010;birra;-1
1011;birrento;-1
1012;biruta;-1
1013;bisbilhotar;-1
1014;bisbilhoteiro;-1
1015;bisbilhotice;-1
1016;bisonho;-1
1017;bissexual;0
1018;bizarria;-1
1019;bizarro;-1
1020;blasfemador;-1
1021;blasfémia;-1
1022;blasfemo;-1
1023;blindado;0
1024;bloqueado;-1
1025;bloquear;-1
1026;boateiro;-1
1027;bobo;-1
1028;boboca;-1
1029;boçal;-1
1030;bocejar;-1
1031;bochechudo;-1
1032;bocó;-1
1033;boémio;-1
1034;boêmio;-1
1035;bojudo;-1
1036;bolachudo;-1
1037;bolchevique;0
1038;bolchevista;0
1039;bolorento;-1
1040;bom;1
1041;bombardear;1
1042;bombeado;-1
1043;bom-samaritano;1
1044;bonacheirão;0
1045;bonacheiro;0
1046;bonapartista;0
1047;bondade;1
1048;bondoso;1
1049;boniteza;1
1050;bonito;1
1051;borbulhento;-1
1052;borguista;-1
1053;borrachudo;-1
1054;borrado;-1
1055;borralheiro;0
1056;boto;-1
1057;botocudo;-1
1058;brabo;0
1059;braçal;0
1060;braceiro;1
1061;brando;0
